"","L.crispatus r2","L.iners r2","Lacto_other r2","Others r2","L.crispatus P","L.iners P","Lacto_other P","Others P"
"L.crispatus",1,0.5369683694439,0.456678726869443,0.412776292839293,1,0.0127580744608098,0.0192969373516255,0.00208753371697344
"L.iners",1.86230708716722,1,0.849154591014572,0.767805503904968,0.0127580744608098,1,0.58587722227148,0.254354954302081
"Lacto_other",2.18972319305314,1.17764186943298,1,0.904492563389478,0.0192969373516255,0.58587722227148,1,0.768064509371832
"Others",2.42261975154017,1.3024131696297,1.10559228508482,1,0.00208753371697344,0.254354954302081,0.768064509371831,1
