"","len_case1","es_case1","pvalues_case1"
"1","1","Error in t.test.default(x = c(1L, 1L, 1L, 1L, 1L, 1L, 1L, 1L, 1L, 1L,  : 
  data are essentially constant
","Error in t.test.default(x = c(1L, 1L, 1L, 1L, 1L, 1L, 1L, 1L, 1L, 1L,  : 
  data are essentially constant
"
"2","2","0.705528049202535","0.399634350187494"
"3","2","1.03021943179407","1"
"4","2","Error in fisher.test(mat1) : 'x' must have at least 2 rows and columns
","Error in fisher.test(mat1) : 'x' must have at least 2 rows and columns
"
"5","54","-3.23198218894798","0.00139216278567964"
"6","3","0.401136622456632","0.688646965718233"
"7","3","-2.63843043566089","0.00859997505397347"
"8","2","1.41416950162894","0.161366122405617"
"9","2","Error in fisher.test(mat1) : 'x' must have at least 2 rows and columns
","Error in fisher.test(mat1) : 'x' must have at least 2 rows and columns
"
"10","2","0.604084891597803","0.0160187579321217"
"11","3","-19.7688877551804","3.85526080312707e-46"
"12","20","-29.1435036285806","6.5887258813191e-75"
"13","2","0.656754834711096","0.177315087899143"
"14","3","36.2224943926818","2.09102199437044e-82"
"15","373","-19.0025695546912","2.06915791820929e-48"
"16","3","-10.9496142912916","1.47536333774937e-21"
"17","5","1.50654999736856","0.133219355117289"
"18","2","0.780055488674053","0.167609713013656"
"19","2","0.645587487012065","0.637545547819106"
"20","16","-2.05857196767067","0.0403126440181252"
"21","29","0.239874795497195","0.810617160809771"
"22","8","2.3011635928124","0.0222645821259242"
"23","5","5.35862410036622","2.41550423663286e-07"
"24","12","3.05409794588969","0.00250857001035051"
"25","102","-2.19187558051572","0.0293596232862679"
"26","506","0.0870285177495864","0.930715933204099"
"27","4","-0.0278109805481254","0.977834267650097"
"28","44","0.538551367662425","0.590661763949563"
"29","171","0.338961711641587","0.734901687417083"
"30","12","0.675333038797748","0.500147239069638"
"31","3","0.425794044886799","0.670605776769796"
"32","4","3.16949478324046","0.0017569624118323"
"33","2","1.57698913951096","0.59254175160298"
"34","4","-1.02898699328053","0.304020431187075"
"35","3","1.57220103392269","0.117563928276138"
"36","3","1.25497450246112","0.211098720874498"
"37","2","1.30025041966128","1"
"38","2","19.5753709575181","1.85389251211502e-11"
"39","3","0.788275203431631","0.431390709243713"
"40","1","NaN","NaN"
"41","3","-1.0228910053293","0.306691793383616"
"42","3","0.28829977150872","0.77337515392952"
"43","2","1.64222129601828","0.397705465104701"
"44","2","0.922865693604201","1"
"45","3","-0.974638527886795","0.330140013713984"
"46","2","0.337204704454409","0.036479480422221"
"47","2","8.62604295133427","0.00674092502757483"
"48","2","0.761307658833151","0.153577861958271"
"49","2","1.2223595024644","0.308111649093456"
"50","119","-2.46495422868173","0.0143429466734279"
"51","19","-0.0193360837198515","0.984589210622932"
"52","11","0.224284176359852","0.82264907971444"
"53","5","-3.0527828283293","0.00279448787307568"
"54","3","-1.49249965913889","0.135993112864084"
"55","6","0.0662707398181257","0.947216981990291"
"56","5","0.0490338932780625","0.960931611913997"
"57","8","0.427038078368365","0.669815944824555"
"58","3","-0.895982349958772","0.370550856519048"
"59","3","0.237131458528218","0.812659378458094"
"60","2","0.695377618898887","0.457861884816939"
"61","3","-0.174329802442408","0.861705284353651"
"62","4","1.14642775543737","0.252959241781503"
"63","5","-0.331439889630036","0.740613617334451"
"64","5","-0.283094630146295","0.777365569064445"
"65","85","-1.20601531434336","0.229636444604463"
"66","13","-0.96539911093087","0.335983439117491"
"67","81","-2.49901913352366","0.0138175443076712"
"68","81","2.49901913352366","0.0138175443076712"
"69","19","2.12947050195325","0.0352197749339745"
"70","7","-1.29322067857031","0.197652038743749"
