"","R2","P","FDR"
"C_PIH",0.00206009551241996,0.148,0.388333333333333
"C_PRE_DM",0.000714083735610339,0.705,0.705
"C_ANEM3",0.00214912102138712,0.177,0.388333333333333
"C_HIGH3",0.00102645561271429,0.646,0.705
"MQG14",0.00174014456731194,0.233,0.388333333333333
"SFOLATE",0.0119206765667802,0.001,0.01
"FERRITIN",0.00213339783479162,0.204,0.388333333333333
"TFR",0.000986126981964568,0.671,0.705
"vitd_total",0.0147906254659324,0.044,0.22
"sodium",0.00138692517478132,0.579,0.705
